Date,Symbol,Timeframe,Direction,Signal Price,Optimum Price,TP Price,Stop Loss Price,TP % (Signal),TP % (Optimum),SL % (Signal),SL % (Optimum),Current Price,Status,MessageID,Signal Validity Time,Optimum Validity Time,Signal Timestamp,Breakout Possibility,AlertSent
2025-10-24 9:47:20,VRSN.US,Daily,Long,237,225.04044,269.70609,213.13863,13.80%,19.85%,10.07%,5.29%,308,New,19a16795ae1e39ea,2025-11-01 20:00:00,2025-11-17 19:00:00,2025-10-23 20:00:00,21%,SKIPPED
2025-10-24 10:26:39,KLAC.US,4-hour,Short,1186.986,1297.01466,1083.6087,1352.35445,8.71%,16.45%,13.93%,4.27%,1977.22,New,19a169d5c8b0be09,2025-10-28 8:00:00,2025-11-07 7:00:00,2025-10-24 12:00:00,50%,SKIPPED
2025-10-24 10:49:29,UNP.US,1-hour,Long,217.78313,209.88837,224.82,206.61176,3.23%,7.11%,5.13%,1.56%,271.24,New,19a16b243e8c7447,2025-10-25 13:00:00,2025-10-27 11:00:00,2025-10-24 13:00:00,15%,SKIPPED
2025-10-24 11:08:14,ANET.US,1-hour,Short,155.2124,168.07713,148.48435,171.92615,4.33%,11.66%,10.77%,2.29%,159.34,New,19a16c36e6239afb,2025-10-25 14:00:00,2025-10-27 12:00:00,2025-10-24 14:00:00,10%,SKIPPED
2025-10-24 12:10:04,MU.US,1-hour,Short,217.31325,240.1925,203.63043,246.42759,6.30%,15.22%,13.40%,2.60%,877.87,New,19a16fc0a345ff9d,2025-10-25 15:00:00,2025-10-27 13:00:00,2025-10-24 15:00:00,40%,SKIPPED
2025-10-24 12:15:29,VRSN.US,4-hour,Long,227.01,220.38455,262.10348,211.81784,15.46%,18.93%,6.69%,3.89%,308,New,19a1700ffc8b4124,2025-10-28 8:00:00,2025-11-07 7:00:00,2025-10-24 12:00:00,51%,SKIPPED
2025-10-24 13:05:04,TMO.US,4-hour,Short,573.59,639.7026,541.93826,657.75281,5.52%,15.28%,14.67%,2.82%,447.3,New,19a172e675779179,2025-10-27 20:00:00,2025-11-04 19:00:00,2025-10-24 16:00:00,15%,SKIPPED
2025-10-24 13:05:04,LRCX.US,1-hour,Short,152.37,163.57485,145.07957,167.89027,4.78%,11.31%,10.19%,2.64%,315.08,New,19a172e675779179,2025-10-25 16:00:00,2025-10-27 14:00:00,2025-10-24 16:00:00,10%,SKIPPED
2025-10-24 13:05:04,KLAC.US,1-hour,Short,1185.77,1276.47853,1144.86043,1302.55643,3.45%,10.31%,9.85%,2.04%,1977.22,New,19a172e675779179,2025-10-25 16:00:00,2025-10-27 14:00:00,2025-10-24 16:00:00,30%,SKIPPED
2025-10-24 13:05:04,CRWD.US,1-hour,Short,525,555.6936,510.61174,567.08445,2.74%,8.11%,8.02%,2.05%,673.96,New,19a172e675779179,2025-10-25 16:00:00,2025-10-27 14:00:00,2025-10-24 16:00:00,30%,SKIPPED
2025-10-24 13:05:04,NAS100,1-hour,Short,25409.7,25665.38711,25220,25755.84689,0.75%,1.74%,1.36%,0.35%,#N/A,New,19a172e675779179,2025-10-24 23:00:00,2025-10-25 11:00:00,2025-10-24 16:00:00,42%,SKIPPED
2025-10-24 15:05:04,AVGO.US,1-hour,Short,355.09078,389.49553,345.63913,395.66998,2.66%,11.26%,11.43%,1.59%,423.21,New,19a179c43db25944,2025-10-25 18:00:00,2025-10-26 23:00:00,2025-10-24 18:00:00,5%,SKIPPED
2025-10-23 9:36:05,BSX.US,4-hour,Short,105.39,113.79895,98.07957,116.61286,6.94%,13.81%,10.65%,2.47%,57.69,New,19a1148b57ab0ad5,2025-10-29 8:00:00,2025-11-06 7:00:00,2025-10-23 12:00:00,14%,SKIPPED
2025-10-23 9:36:05,VRSN.US,1-hour,Long,249.23,240.56475,265.07826,235.82258,6.36%,10.19%,5.38%,1.97%,308,New,19a1148b57ab0ad5,2025-10-24 12:00:00,2025-10-26 10:00:00,2025-10-23 12:00:00,51%,SKIPPED
2025-10-23 9:57:34,ISRG.US,Daily,Short,538.72,585.04933,446.95609,611.00233,17.03%,23.60%,13.42%,4.44%,436.45,New,19a115c627b21c22,2025-10-31 20:00:00,2025-11-18 19:00:00,2025-10-22 20:00:00,14%,SKIPPED
2025-10-23 11:58:44,ORLY.US,1-hour,Long,94.13746,93.29929,100.7613,91.90232,7.04%,8.00%,2.37%,1.50%,88.09,New,19a11cb50711a46c,2025-10-24 14:00:00,2025-10-26 12:00:00,2025-10-23 14:00:00,64%,SKIPPED
2025-10-23 12:05:04,COP.US,1-hour,Short,90.89,93.91313,87.26174,95.3832,3.99%,7.08%,4.94%,1.57%,118.45,New,19a11d123742141c,2025-10-24 15:00:00,2025-10-26 13:00:00,2025-10-23 15:00:00,10%,SKIPPED
2025-10-23 12:05:04,XOM.US,1-hour,Short,116.38,119.08632,113.40826,120.43579,2.55%,4.77%,3.48%,1.13%,151.66,New,19a11d123742141c,2025-10-24 15:00:00,2025-10-26 13:00:00,2025-10-23 15:00:00,5%,SKIPPED
2025-10-23 14:05:04,ODFL.US,1-hour,Long,135.77,119.30361,141.27696,116.21918,4.06%,18.42%,14.40%,2.59%,214.99,New,19a123efb9066090,2025-10-24 17:00:00,2025-10-25 22:00:00,2025-10-23 17:00:00,5%,SKIPPED
2025-10-22 9:36:02,ISRG.US,4-hour,Short,546.04,568.58584,443.54609,604.6592,18.77%,21.99%,10.74%,6.34%,436.45,New,19a0c224bf767682,2025-10-28 8:00:00,2025-11-05 7:00:00,2025-10-22 12:00:00,35%,SKIPPED
2025-10-22 9:36:02,DXCM.US,1-hour,Short,70.01404,74.20382,67.51783,75.55317,3.57%,9.01%,7.91%,1.82%,72.64,New,19a0c224bf767682,2025-10-23 12:00:00,2025-10-27 10:00:00,2025-10-22 12:00:00,15%,SKIPPED
2025-10-22 10:35:17,BSX.US,1-hour,Short,104.6727,106.55895,99.78652,107.9507,4.67%,6.36%,3.13%,1.31%,57.69,New,19a0c5887bb42d62,2025-10-23 13:00:00,2025-10-27 11:00:00,2025-10-22 13:00:00,34%,SKIPPED
2025-10-22 13:09:17,MRVL.US,1-hour,Long,80.40508,71.78183,85.1487,69.53569,5.90%,18.62%,13.52%,3.13%,201.81,New,19a0ce5864b0dea1,2025-10-23 16:00:00,2025-10-27 14:00:00,2025-10-22 16:00:00,10%,SKIPPED
2025-10-22 14:05:02,TXN.US,1-hour,Long,166.41,153.68211,177.1487,148.84798,6.45%,15.27%,10.55%,3.15%,322.31,New,19a0d1892b58bca7,2025-10-23 17:00:00,2025-10-24 22:00:00,2025-10-22 17:00:00,33%,SKIPPED
2025-10-22 14:05:02,SYK.US,1-hour,Short,390.45,401.25344,379.75217,407.11363,2.74%,5.36%,4.27%,1.46%,311.44,New,19a0d1892b58bca7,2025-10-23 17:00:00,2025-10-24 22:00:00,2025-10-22 17:00:00,12%,SKIPPED
2025-10-22 14:05:02,ORCL.US,1-hour,Long,271.83,271.41794,279.03696,265.13151,2.65%,2.81%,2.46%,2.32%,192.09,New,19a0d1892b58bca7,2025-10-23 17:00:00,2025-10-24 22:00:00,2025-10-22 17:00:00,5%,SKIPPED
2025-10-21 9:36:15,DHR.US,Daily,Short,227.19,241.14448,200.79478,252.37575,11.62%,16.73%,11.09%,4.66%,172,New,19a06fc23799fb13,2025-10-31 20:00:00,2025-11-16 19:00:00,2025-10-20 20:00:00,15%,SKIPPED
2025-10-21 9:36:15,DHR.US,1-hour,Short,233.80357,236.84961,209.40043,241.92635,10.44%,11.59%,3.47%,2.14%,172,New,19a06fc23799fb13,2025-10-22 12:00:00,2025-10-26 10:00:00,2025-10-21 12:00:00,76%,SKIPPED
2025-10-21 9:36:15,ADBE.US,1-hour,Short,343.5,359.61171,334.73348,364.62599,2.55%,6.92%,6.15%,1.39%,242.3,New,19a06fc23799fb13,2025-10-22 12:00:00,2025-10-26 10:00:00,2025-10-21 12:00:00,5%,SKIPPED
2025-10-21 11:05:05,ACN.US,1-hour,Short,249,263.69597,239.13957,268.13585,3.96%,9.31%,7.69%,1.68%,178.21,New,19a074d7631f9cc0,2025-10-22 14:00:00,2025-10-26 12:00:00,2025-10-21 14:00:00,5%,SKIPPED
2025-10-21 11:10:45,DOCU.US,1-hour,Short,72.58274,76.85277,68.60913,78.42716,5.47%,10.73%,8.05%,2.05%,49.66,New,19a0752a52dce223,2025-10-22 14:00:00,2025-10-26 12:00:00,2025-10-21 14:00:00,10%,SKIPPED
2025-10-21 12:05:05,CRM.US,1-hour,Short,264.28,281.91265,249.83652,288.5678,5.47%,11.38%,9.19%,2.36%,181.53,New,19a0784668564536,2025-10-22 15:00:00,2025-10-26 13:00:00,2025-10-21 15:00:00,31%,SKIPPED
2025-10-21 12:05:05,CRWD.US,1-hour,Short,506.29,554.16506,489.46696,564.02005,3.32%,11.67%,11.40%,1.78%,673.96,New,19a0784668564536,2025-10-22 15:00:00,2025-10-26 13:00:00,2025-10-21 15:00:00,5%,SKIPPED
2025-10-21 12:05:05,AMZN.US,1-hour,Short,222.32,236.6116,215.40348,239.6513,3.11%,8.96%,7.80%,1.28%,263.72,New,19a0784668564536,2025-10-22 15:00:00,2025-10-26 13:00:00,2025-10-21 15:00:00,5%,SKIPPED
2025-10-21 12:05:05,BKNG.US,1-hour,Short,5196.6,5351.16698,5067.24783,5434.8306,2.49%,5.31%,4.58%,1.56%,164.23,New,19a0784668564536,2025-10-22 15:00:00,2025-10-26 13:00:00,2025-10-21 15:00:00,5%,SKIPPED
2025-10-21 13:05:05,PANW.US,1-hour,Short,214.24,231.01603,209.24913,234.16873,2.33%,9.42%,9.30%,1.36%,258.35,New,19a07bb520b68dd3,2025-10-22 16:00:00,2025-10-26 14:00:00,2025-10-21 16:00:00,5%,SKIPPED
2025-10-21 13:05:05,MRK.US,1-hour,Short,86.87,91.47326,85.23913,92.74748,1.88%,6.82%,6.77%,1.39%,120.9,New,19a07bb520b68dd3,2025-10-22 16:00:00,2025-10-26 14:00:00,2025-10-21 16:00:00,5%,SKIPPED
2025-10-21 14:05:50,NOW.US,1-hour,Short,940.87,1012.73862,910.55565,1027.9272,3.22%,10.09%,9.25%,1.50%,101.73,New,19a07f2f1b334fa9,2025-10-22 17:00:00,2025-10-25 22:00:00,2025-10-21 17:00:00,15%,SKIPPED
2025-10-21 15:05:20,ALGN.US,1-hour,Short,135.90568,147.16953,132.3413,149.79259,2.62%,10.08%,10.22%,1.78%,164.05,New,19a08296acc56ee3,2025-10-22 18:00:00,2025-10-25 23:00:00,2025-10-21 18:00:00,10%,SKIPPED
2025-10-21 15:05:20,FAST.US,1-hour,Short,43.32,47.11199,42.62522,47.61528,1.60%,9.52%,9.92%,1.07%,44.15,New,19a08296acc56ee3,2025-10-22 18:00:00,2025-10-25 23:00:00,2025-10-21 18:00:00,5%,SKIPPED
2025-10-20 10:05:04,ISRG.US,1-hour,Short,458.81648,472.41813,439.29391,479.34946,4.25%,7.01%,4.48%,1.47%,436.45,New,19a01f02740baf19,2025-10-23 13:00:00,2025-10-25 11:00:00,2025-10-20 13:00:00,12%,SKIPPED
2025-10-20 11:05:05,LULU.US,1-hour,Short,175.3,189.31153,166.70609,192.71133,4.90%,11.94%,9.93%,1.80%,127.25,New,19a022716047d69b,2025-10-23 14:00:00,2025-10-25 12:00:00,2025-10-20 14:00:00,5%,SKIPPED
2025-10-20 11:05:05,AAPL.US,1-hour,Short,261.57,269.4987,250.15826,273.6087,4.36%,7.18%,4.60%,1.53%,310.38,New,19a022716047d69b,2025-10-23 14:00:00,2025-10-25 12:00:00,2025-10-20 14:00:00,45%,SKIPPED
2025-10-20 11:45:14,LLY.US,1-hour,Long,799,748.51208,813.5013,735.23512,1.81%,8.68%,7.98%,1.77%,1078.43,New,19a024be04c8784e,2025-10-23 14:00:00,2025-10-25 12:00:00,2025-10-20 14:00:00,5%,SKIPPED
2025-10-20 12:05:04,ORCL.US,1-hour,Long,278.73,243.79759,299.51652,232.41176,7.46%,22.85%,16.62%,4.67%,192.09,New,19a025e05e43540c,2025-10-23 15:00:00,2025-10-25 13:00:00,2025-10-20 15:00:00,10%,SKIPPED
2025-10-20 13:05:03,GILD.US,1-hour,Short,122.94677,130.81401,120.51304,133.03586,1.98%,7.87%,8.21%,1.70%,135.26,New,19a0294f27ce4ba2,2025-10-23 16:00:00,2025-10-25 14:00:00,2025-10-20 16:00:00,15%,SKIPPED
2025-10-20 14:06:38,CTAS.US,1-hour,Short,192.64607,203.81282,187.79783,206.50411,2.52%,7.86%,7.19%,1.32%,171.17,New,19a02cd5795e2ef6,2025-10-23 17:00:00,2025-10-24 22:00:00,2025-10-20 17:00:00,5%,SKIPPED
2025-10-20 14:20:38,NAS100,1-hour,Short,25200.70073,25590.85118,24964.37826,25705.24084,0.94%,2.45%,2.00%,0.45%,#N/A,New,19a02da279d34256,2025-10-21 0:00:00,2025-10-21 12:00:00,2025-10-20 17:00:00,15%,SKIPPED
2025-10-20 15:56:38,KLAC.US,1-hour,Short,1156.44414,1249.83674,1106.73217,1277.07378,4.30%,11.45%,10.43%,2.18%,1977.22,New,19a033208f38ab9f,2025-10-23 18:00:00,2025-10-24 23:00:00,2025-10-20 18:00:00,30%,SKIPPED
2025-10-17 14:05:07,SBUX.US,1-hour,Short,85.37,86.78258,83.48826,89.04271,2.20%,3.80%,4.30%,2.60%,101.63,New,199f358dd6e60ef6,2025-10-18 17:00:00,2025-10-19 22:00:00,2025-10-17 17:00:00,5%,SKIPPED
2025-10-16 9:36:03,FAST.US,Daily,Long,42.03175,36.56701,46.97435,34.47396,11.76%,28.46%,17.98%,5.72%,44.15,New,199ed3c31c7b13c6,2025-10-24 20:00:00,2025-11-11 19:00:00,2025-10-15 20:00:00,10%,SKIPPED
2025-10-16 9:49:33,GOOGL.US,1-hour,Short,255.97744,263.80629,245.06391,268.18429,4.26%,7.10%,4.77%,1.66%,386.56,New,199ed4889eda0616,2025-10-17 12:00:00,2025-10-19 10:00:00,2025-10-16 12:00:00,15%,SKIPPED
2025-10-16 9:49:33,GOOG.US,1-hour,Short,256.79201,264.72774,245.85696,269.07213,4.26%,7.13%,4.78%,1.64%,382.55,New,199ed4889eda0616,2025-10-17 12:00:00,2025-10-19 10:00:00,2025-10-16 12:00:00,50%,SKIPPED
2025-10-16 10:21:33,AMD.US,1-hour,Short,240.79962,270.28659,225.1087,278.9723,6.52%,16.71%,15.85%,3.21%,488.34,New,199ed65d334278b2,2025-10-17 13:00:00,2025-10-19 11:00:00,2025-10-16 13:00:00,50%,SKIPPED
2025-10-16 11:05:18,BKNG.US,1-hour,Long,5038.5,4770.10624,5206.15826,4690.49022,3.33%,9.14%,6.91%,1.67%,164.23,New,199ed8de2f0c6b5d,2025-10-17 14:00:00,2025-10-19 12:00:00,2025-10-16 14:00:00,40%,SKIPPED
2025-10-16 14:05:03,LIN.US,1-hour,Long,444,426.69804,455.21522,421.43186,2.53%,6.68%,5.08%,1.23%,514.92,New,199ee3278fb0cf33,2025-10-17 17:00:00,2025-10-18 22:00:00,2025-10-16 17:00:00,42%,SKIPPED
2025-10-16 14:13:53,AMAT.US,Daily,Short,225.83,241.8369,205.53391,267.44793,8.99%,15.01%,18.43%,10.59%,448.93,New,199ee3a872f5c336,2025-10-24 20:00:00,2025-11-11 19:00:00,2025-10-15 20:00:00,10%,SKIPPED
2025-10-15 9:36:04,ASML.US,Daily,Short,1029.81,1038.06493,954.69652,1093.73678,7.29%,8.03%,6.21%,5.36%,1608.97,New,199e815d9f6069e0,2025-10-23 20:00:00,2025-11-10 19:00:00,2025-10-14 20:00:00,10%,SKIPPED
2025-10-15 9:36:04,COP.US,4-hour,Long,88.65,79.18387,92.75696,76.43885,4.63%,17.14%,13.77%,3.47%,118.45,New,199e815d9f6069e0,2025-10-21 8:00:00,2025-10-29 8:00:00,2025-10-15 12:00:00,5%,SKIPPED
2025-10-15 9:36:04,TJX.US,1-hour,Short,144.52938,149.7442,141.21957,151.61974,2.29%,5.69%,4.91%,1.25%,158.75,New,199e815d9f6069e0,2025-10-16 12:00:00,2025-10-20 10:00:00,2025-10-15 12:00:00,10%,SKIPPED
2025-10-15 9:36:04,HD.US,1-hour,Short,389.01,398.99495,380.39522,403.21507,2.21%,4.66%,3.65%,1.06%,309.75,New,199e815d9f6069e0,2025-10-16 12:00:00,2025-10-20 10:00:00,2025-10-15 12:00:00,5%,SKIPPED
2025-10-15 12:06:34,SBUX.US,1-hour,Short,82.87433,86.49009,80.25565,87.8158,3.16%,7.21%,5.96%,1.53%,101.63,New,199e89f9e9f49d99,2025-10-16 15:00:00,2025-10-20 13:00:00,2025-10-15 15:00:00,5%,SKIPPED
2025-10-15 14:05:04,KLAC.US,1-hour,Short,1077.62,1159.03924,1031.57522,1188.11582,4.27%,11.00%,10.25%,2.51%,1977.22,New,199e90c21b7ef21b,2025-10-16 17:00:00,2025-10-17 22:00:00,2025-10-15 17:00:00,5%,SKIPPED
2025-10-15 14:39:39,LRCX.US,1-hour,Short,143.64452,154.04248,138.44217,157.5628,3.62%,10.13%,9.69%,2.29%,315.08,New,199e92bc50cce7ac,2025-10-16 17:00:00,2025-10-17 22:00:00,2025-10-15 17:00:00,5%,SKIPPED
2025-10-14 9:36:04,CSCO.US,1-hour,Long,66.94028,64.34848,69.0787,63.25835,3.19%,7.35%,5.50%,1.69%,118.06,New,199e2ef762aa65c1,2025-10-15 12:00:00,2025-10-19 10:00:00,2025-10-14 12:00:00,10%,SKIPPED
2025-10-14 12:05:04,ANET.US,1-hour,Long,140.45,123.02869,153.07826,116.25902,8.99%,24.42%,17.22%,5.50%,159.34,New,199e377e6c8e8451,2025-10-15 15:00:00,2025-10-19 13:00:00,2025-10-14 15:00:00,5%,SKIPPED
2025-10-14 14:05:04,ROST.US,1-hour,Short,155.93,164.6824,151.85652,167.59397,2.61%,7.79%,7.48%,1.77%,234.24,New,199e3e5be0984e26,2025-10-15 17:00:00,2025-10-18 22:00:00,2025-10-14 17:00:00,5%,SKIPPED
2025-10-14 15:06:25,LOW.US,1-hour,Short,240.85455,248.44778,235.11957,251.18999,2.38%,5.36%,4.29%,1.10%,212.06,New,199e41de8eca3ec5,2025-10-15 18:00:00,2025-10-18 23:00:00,2025-10-14 18:00:00,5%,SKIPPED
2025-10-13 9:36:06,FAST.US,1-hour,Long,43.71822,43.22039,46.8987,42.39066,7.27%,8.51%,3.04%,1.92%,44.15,New,199ddc91e83e6d1c,2025-10-16 12:00:00,2025-10-18 10:00:00,2025-10-13 12:00:00,55%,SKIPPED
2025-10-13 9:36:06,ADI.US,1-hour,Long,226.66,214.61745,234.66043,210.6576,3.53%,9.34%,7.06%,1.85%,415.08,New,199ddc91e83e6d1c,2025-10-16 12:00:00,2025-10-18 10:00:00,2025-10-13 12:00:00,22%,SKIPPED
2025-10-13 9:36:06,TXN.US,1-hour,Long,172.53067,164.17143,177.93261,161.43204,3.13%,8.38%,6.43%,1.67%,322.31,New,199ddc91e83e6d1c,2025-10-16 12:00:00,2025-10-18 10:00:00,2025-10-13 12:00:00,35%,SKIPPED
2025-10-13 13:05:06,FAST.US,4-hour,Long,43.38,40.39225,47.61783,38.92621,9.77%,17.89%,10.27%,3.63%,44.15,New,199de8877dfc51b0,2025-10-18 20:00:00,2025-10-26 20:00:00,2025-10-13 16:00:00,28%,SKIPPED
